"INDICATOR","Indicator","LOCATION","Country","TIME","Time","Value","Flag Codes","Flags"
"FPCIND_S1T7","Percentage of indoor cinemas that are small facilities (1 to 7 screens)","BLR","Belarus","2005","2005",100,,
"FPCIND_S1T7","Percentage of indoor cinemas that are small facilities (1 to 7 screens)","BLR","Belarus","2006","2006",100,,
"FPCIND_S1T7","Percentage of indoor cinemas that are small facilities (1 to 7 screens)","BLR","Belarus","2007","2007",100,,
"FPCIND_S1T7","Percentage of indoor cinemas that are small facilities (1 to 7 screens)","BLR","Belarus","2008","2008",100,,
"FPCIND_S1T7","Percentage of indoor cinemas that are small facilities (1 to 7 screens)","BLR","Belarus","2009","2009",100,,
"FPCIND_S1T7","Percentage of indoor cinemas that are small facilities (1 to 7 screens)","BLR","Belarus","2010","2010",100,,
"FPCIND_S1T7","Percentage of indoor cinemas that are small facilities (1 to 7 screens)","BLR","Belarus","2011","2011",100,,
"FPCIND_S1T7","Percentage of indoor cinemas that are small facilities (1 to 7 screens)","BOL","Bolivia (Plurinational State of)","2007","2007",100,"+","National Estimation"
"FPCIND_S1T7","Percentage of indoor cinemas that are small facilities (1 to 7 screens)","BOL","Bolivia (Plurinational State of)","2008","2008",88.2,"+","National Estimation"
"FPCIND_S1T7","Percentage of indoor cinemas that are small facilities (1 to 7 screens)","BOL","Bolivia (Plurinational State of)","2009","2009",78.9,,
"FPCIND_S1T7","Percentage of indoor cinemas that are small facilities (1 to 7 screens)","BRA","Brazil","2005","2005",92.9,,
"FPCIND_S1T7","Percentage of indoor cinemas that are small facilities (1 to 7 screens)","BRA","Brazil","2006","2006",92.3,,
"FPCIND_S1T7","Percentage of indoor cinemas that are small facilities (1 to 7 screens)","BRA","Brazil","2007","2007",92,,
"FPCIND_S1T7","Percentage of indoor cinemas that are small facilities (1 to 7 screens)","BRA","Brazil","2008","2008",91.9,,
"FPCIND_S1T7","Percentage of indoor cinemas that are small facilities (1 to 7 screens)","BRA","Brazil","2009","2009",89.6,,
"FPCIND_S1T7","Percentage of indoor cinemas that are small facilities (1 to 7 screens)","BRA","Brazil","2010","2010",89.7,,
"FPCIND_S1T7","Percentage of indoor cinemas that are small facilities (1 to 7 screens)","BRA","Brazil","2011","2011",89.9,,
"FPCIND_S1T7","Percentage of indoor cinemas that are small facilities (1 to 7 screens)","BRA","Brazil","2012","2012",89.2,,
"FPCIND_S1T7","Percentage of indoor cinemas that are small facilities (1 to 7 screens)","BRA","Brazil","2013","2013",88.6,,
"FPCIND_S1T7","Percentage of indoor cinemas that are small facilities (1 to 7 screens)","BRA","Brazil","2014","2014",88.6,,
"FPCIND_S1T7","Percentage of indoor cinemas that are small facilities (1 to 7 screens)","BRA","Brazil","2015","2015",87.9,,
"FPCIND_S1T7","Percentage of indoor cinemas that are small facilities (1 to 7 screens)","VGB","British Virgin Islands","2005","2005",,"n","Magnitude nil or negligible"
"FPCIND_S1T7","Percentage of indoor cinemas that are small facilities (1 to 7 screens)","VGB","British Virgin Islands","2006","2006",,"n","Magnitude nil or negligible"
"FPCIND_S1T7","Percentage of indoor cinemas that are small facilities (1 to 7 screens)","BGR","Bulgaria","2005","2005",95.2,,
"FPCIND_S1T7","Percentage of indoor cinemas that are small facilities (1 to 7 screens)","BGR","Bulgaria","2006","2006",92.6,,
"FPCIND_S1T7","Percentage of indoor cinemas that are small facilities (1 to 7 screens)","BGR","Bulgaria","2007","2007",93,,
"FPCIND_S1T7","Percentage of indoor cinemas that are small facilities (1 to 7 screens)","BGR","Bulgaria","2008","2008",87.5,,
"FPCIND_S1T7","Percentage of indoor cinemas that are small facilities (1 to 7 screens)","BGR","Bulgaria","2009","2009",83.3,,
"FPCIND_S1T7","Percentage of indoor cinemas that are small facilities (1 to 7 screens)","BGR","Bulgaria","2012","2012",65.5,,
"FPCIND_S1T7","Percentage of indoor cinemas that are small facilities (1 to 7 screens)","BGR","Bulgaria","2013","2013",65.6,,
"FPCIND_S1T7","Percentage of indoor cinemas that are small facilities (1 to 7 screens)","BGR","Bulgaria","2014","2014",68.4,,
"FPCIND_S1T7","Percentage of indoor cinemas that are small facilities (1 to 7 screens)","BGR","Bulgaria","2015","2015",73.9,,
"FPCIND_S1T7","Percentage of indoor cinemas that are small facilities (1 to 7 screens)","BFA","Burkina Faso","2007","2007",100,"+","National Estimation"
"FPCIND_S1T7","Percentage of indoor cinemas that are small facilities (1 to 7 screens)","BFA","Burkina Faso","2008","2008",100,"+","National Estimation"
"FPCIND_S1T7","Percentage of indoor cinemas that are small facilities (1 to 7 screens)","BFA","Burkina Faso","2009","2009",100,"+","National Estimation"
"FPCIND_S1T7","Percentage of indoor cinemas that are small facilities (1 to 7 screens)","BFA","Burkina Faso","2014","2014",100,,
"FPCIND_S1T7","Percentage of indoor cinemas that are small facilities (1 to 7 screens)","BFA","Burkina Faso","2015","2015",100,,
"FPCIND_S1T7","Percentage of indoor cinemas that are small facilities (1 to 7 screens)","KHM","Cambodia","2005","2005",100,,
"FPCIND_S1T7","Percentage of indoor cinemas that are small facilities (1 to 7 screens)","KHM","Cambodia","2006","2006",100,,
"FPCIND_S1T7","Percentage of indoor cinemas that are small facilities (1 to 7 screens)","KHM","Cambodia","2007","2007",100,,
"FPCIND_S1T7","Percentage of indoor cinemas that are small facilities (1 to 7 screens)","KHM","Cambodia","2008","2008",100,,
"FPCIND_S1T7","Percentage of indoor cinemas that are small facilities (1 to 7 screens)","KHM","Cambodia","2009","2009",100,,
